question_id,year,block,number,clinical_area,image_dependency,has_image_reference,confidence,gold,prediction,audit_dataset_error,audit_ambiguous_item,audit_missing_information,audit_model_reasoning_error,audit_other,reviewer_notes
2018B045,2018,B,45,cardiovascular_disorders,not enough text,True,0.96,b,e,,,,,,
2019A023,2019,A,23,otolaryngology,enough text,True,0.91,c,e,,,,,,
2019B024,2019,B,24,prevention_and_health_promotion,none,False,0.93,a,c,,,,,,
2019F016,2019,F,16,normal_structure_and_function,none,False,0.91,d,e,,,,,,
2019F024,2019,F,24,health_care_systems,none,False,0.92,e,c,,,,,,
2019F060,2019,F,60,obstetrics_and_gynecology,image question,True,0.99,d,a,,,,,,
2020A034,2020,A,34,urology,not enough text,True,0.93,d,e,,,,,,
2020A048,2020,A,48,gastrointestinal_disorders,not enough text,True,0.92,d,c,,,,,,
2022B033,2022,B,33,obstetrics_and_gynecology,none,False,0.98,c,e,,,,,,
2022D056,2022,D,56,hematologic_disorders,enough text,True,0.93,c,a,,,,,,
2023C005,2023,C,5,health_care_systems,none,False,0.92,d,e,,,,,,
2023C009,2023,C,9,infectious_diseases,none,False,0.94,c,b,,,,,,
2023C020,2023,C,20,health_care_systems,none,False,0.96,b,d,,,,,,
2024C001,2024,C,1,diagnostics_and_testing,none,False,0.96,d,e,,,,,,
2024C012,2024,C,12,neurological_disorders,none,False,0.96,b,a,,,,,,
2024F010,2024,F,10,health_care_systems,none,False,0.91,c,d,,,,,,
2026A048,2026,A,48,respiratory_disorders,not enough text,True,0.99,a,b,,,,,,
2026A066,2026,A,66,ophthalmology,not enough text,True,0.91,c,e,,,,,,
2026B018,2026,B,18,infectious_diseases,not enough text,True,0.95,d,a,,,,,,
2026D009,2026,D,9,skin_disorders,image question,True,0.94,d,e,,,,,,
2026F044,2026,F,44,obstetrics_and_gynecology,not enough text,True,0.92,b,e,,,,,,
